	Y	X1	X2	X3	X4	X5	X6	X7
1	4.9176	1	3.472	0.998	1	7	4	42
2	5.0208	1	3.531	1.5	2	7	4	62
3	4.5429	1	2.275	1.175	1	6	3	40
4	4.5573	1	4.05	1.232	1	6	3	54
5	5.0597	1	4.455	1.121	1	6	3	42
6	3.891	1	4.455	0.988	1	7	3	56
7	5.898	1	5.85	1.24	1	7	3	51
8	5.6039	1	9.52	1.501	0	6	3	32
9	16.4202	2.5	9.8	3.42	2	10	5	42
10	14.4598	2.5	12.8	3	2	9	5	14
11	5.8282	1	6.435	1.225	2	6	3	32
12	5.3003	1	4.988	1.552	1	6	3	30
13	6.2712	1	5.52	0.975	1	5	2	30
14	5.9592	1	6.666	1.121	2	6	3	32
15	5.05	1	5	1.02	0	5	2	46
16	5.6039	1	9.52	1.501	0	6	3	32
17	8.2464	1.5	5.15	1.664	2	8	4	50
18	6.6969	1.5	6.902	1.488	1	7	3	22
19	7.7841	1.5	7.102	1.376	1	6	3	17
20	9.0384	1	7.8	1.5	2	7	3	23
21	5.9894	1	5.52	1.256	2	6	3	40
22	7.5422	1.5	4	1.69	1	6	3	22
23	8.7951	1.5	9.89	1.82	2	8	4	50
24	6.0931	1.5	6.726	1.652	1	6	3	44
25	8.3607	1.5	9.15	1.777	2	8	4	48
26	8.14	3	8	1.504	2	7	3	3
27	9.1416	1.5	7.326	1.831	2	8	4	31
28	12	1.5	5	1.2	2	6	3	30



